p,botsh,growth_factor1,growth_factor2
1,2.577898448762328e-4,1.036711998115523,1.0368914687401973
2,5.815023594151203e-4,1.036711998115523,1.0368914687401973
3,9.570635423238327e-4,1.036711998115523,1.0368914687401973
4,0.0013382311538989722,1.036711998115523,1.0368914687401973
5,0.0017424694864082158,1.036711998115523,1.0368914687401973
6,0.0021692383256072256,1.036711998115523,1.0368914687401973
7,0.0026603205363386895,1.036711998115523,1.0368914687401973
8,0.00323371668640271,1.036711998115523,1.0368914687401973
9,0.003819331785975044,1.036711998115523,1.0368914687401973
10,0.004450127169884244,1.036711998115523,1.0368914687401973
11,0.005088551956669574,1.036711998115523,1.0368914687401973
12,0.005739553283947707,1.036711998115523,1.0368914687401973
13,0.0064040251846654295,1.036711998115523,1.0368914687401973
14,0.007097763017476999,1.036711998115523,1.0368914687401973
15,0.00782064745594524,1.036711998115523,1.0368914687401973
16,0.008577148942164103,1.036711998115523,1.0368914687401973
17,0.009384016225840508,1.036711998115523,1.0368914687401973
18,0.01028601247579497,1.036711998115523,1.0368914687401973
19,0.01125631559421314,1.036711998115523,1.0368914687401973
20,0.012286640520777548,1.036711998115523,1.0368914687401973
21,0.013367510151242712,1.036711998115523,1.0368914687401973
22,0.014563118558442834,1.036711998115523,1.0368914687401973
23,0.01582882201094371,1.036711998115523,1.0368914687401973
24,0.017144533725388267,1.036711998115523,1.0368914687401973
25,0.01849743867483622,1.036711998115523,1.0368914687401973
26,0.019929200369954603,1.036711998115523,1.0368914687401973
27,0.021467833285331306,1.036711998115523,1.0368914687401973
28,0.023109343674397098,1.036711998115523,1.0368914687401973
29,0.024851645460286065,1.036711998115523,1.0368914687401973
30,0.02671428865154679,1.036711998115523,1.0368914687401973
31,0.02866419291975819,1.036711998115523,1.0368914687401973
32,0.030727823104599317,1.036711998115523,1.0368914687401973
33,0.03293378892596732,1.036711998115523,1.0368914687401973
34,0.035254195624039086,1.036711998115523,1.0368914687401973
35,0.03770632827952736,1.036711998115523,1.0368914687401973
36,0.040290127645275065,1.036711998115523,1.0368914687401973
37,0.0430510123256439,1.036711998115523,1.0368914687401973
38,0.045923476489117765,1.036711998115523,1.0368914687401973
39,0.04905837959636672,1.036711998115523,1.0368914687401973
40,0.0524216875950716,1.036711998115523,1.0368914687401973
41,0.055939312026211496,1.036711998115523,1.0368914687401973
42,0.0597566875742408,1.036711998115523,1.0368914687401973
43,0.06382416467770102,1.036711998115523,1.0368914687401973
44,0.0680728985838226,1.036711998115523,1.0368914687401973
45,0.07242087436280242,1.036711998115523,1.0368914687401973
46,0.0769534456437937,1.036711998115523,1.0368914687401973
47,0.0816193523190184,1.036711998115523,1.0368914687401973
48,0.08646377445091935,1.036711998115523,1.0368914687401973
49,0.09145297622005222,1.036711998115523,1.0368914687401973
50,0.09654672459065217,1.036711998115523,1.0368914687401973
51,0.10177541757040576,1.036711998115523,1.0368914687401973
52,0.10724902631509514,1.036711998115523,1.0368914687401973
53,0.11295854969482855,1.036711998115523,1.0368914687401973
54,0.11876004285815733,1.036711998115523,1.0368914687401973
55,0.1246669169649407,1.036711998115523,1.0368914687401973
56,0.13071189508545733,1.036711998115523,1.0368914687401973
57,0.13688699017037143,1.036711998115523,1.0368914687401973
58,0.14313527923756253,1.036711998115523,1.0368914687401973
59,0.14958568765130242,1.036711998115523,1.0368914687401973
60,0.1562112146847091,1.036711998115523,1.0368914687401973
61,0.16304106585774536,1.036711998115523,1.0368914687401973
62,0.1700675527977562,1.036711998115523,1.0368914687401973
63,0.17741179133924523,1.036711998115523,1.0368914687401973
64,0.18500565435231386,1.036711998115523,1.0368914687401973
65,0.19283596899713218,1.036711998115523,1.0368914687401973
66,0.20090124499689288,1.036711998115523,1.0368914687401973
67,0.2091936137965752,1.036711998115523,1.0368914687401973
68,0.21764470994625296,1.036711998115523,1.0368914687401973
69,0.22626961284596048,1.036711998115523,1.0368914687401973
70,0.2351540937396447,1.036711998115523,1.0368914687401973
71,0.24430888191022837,1.036711998115523,1.0368914687401973
72,0.25372801713808457,1.036711998115523,1.0368914687401973
73,0.26347247295816545,1.036711998115523,1.0368914687401973
74,0.27343090998258734,1.036711998115523,1.0368914687401973
75,0.28361328173374645,1.036711998115523,1.0368914687401973
76,0.29405683980620057,1.036711998115523,1.0368914687401973
77,0.30482697175905726,1.036711998115523,1.0368914687401973
78,0.31605194702176687,1.036711998115523,1.0368914687401973
79,0.32762691898478846,1.036711998115523,1.0368914687401973
80,0.33959081147705006,1.036711998115523,1.0368914687401973
81,0.3520178906990443,1.036711998115523,1.0368914687401973
82,0.3649104821571616,1.036711998115523,1.0368914687401973
83,0.3783784962067308,1.036711998115523,1.0368914687401973
84,0.3924607945448305,1.036711998115523,1.0368914687401973
85,0.4071625642933493,1.036711998115523,1.0368914687401973
86,0.42266124780315073,1.036711998115523,1.0368914687401973
87,0.4390964375895776,1.036711998115523,1.0368914687401973
88,0.45653882549654345,1.036711998115523,1.0368914687401973
89,0.4751597161357126,1.036711998115523,1.0368914687401973
90,0.49509989495395224,1.036711998115523,1.0368914687401973
91,0.5165348364976705,1.036711998115523,1.0368914687401973
92,0.5397567237806091,1.036711998115523,1.0368914687401973
93,0.5652754143155441,1.036711998115523,1.0368914687401973
94,0.5934891874635431,1.036711998115523,1.0368914687401973
95,0.6252795344107138,1.036711998115523,1.0368914687401973
96,0.6615861212820622,1.036711998115523,1.0368914687401973
97,0.7039679640121065,1.036711998115523,1.0368914687401973
98,0.7561299244690254,1.036711998115523,1.0368914687401973
99,0.8263022609046929,1.036711998115523,1.0368914687401973
